aX,aY,aZ,gX,gY,gZ
0.989,-0.106,-0.091,-0.671,-5.310,7.568
0.989,-0.119,-0.075,-0.305,-5.981,7.385
0.986,-0.120,-0.040,0.732,-7.812,7.507
0.986,-0.110,-0.045,1.526,-7.019,8.057
0.997,-0.104,-0.039,1.953,-6.531,8.362
1.005,-0.106,0.016,1.953,-7.324,8.850
1.011,-0.068,0.024,2.197,-5.005,9.766
1.007,-0.066,-0.005,2.625,-1.770,9.399
1.004,-0.063,-0.030,2.258,0.305,8.667
1.007,-0.048,-0.033,1.160,1.099,8.545

0.302,0.395,1.865,17.883,-146.851,26.001
0.322,0.444,1.824,14.465,-128.357,19.409
0.328,0.419,1.870,12.634,-115.051,11.230
0.319,0.360,2.020,12.329,-105.042,3.235
0.312,0.251,2.111,12.878,-90.576,-2.625
0.291,0.193,2.098,10.315,-71.655,-5.554
0.287,0.134,2.119,6.836,-52.979,-5.859
0.273,0.112,2.050,8.118,-34.790,-3.601
0.289,0.148,2.157,7.935,-21.118,-1.282
0.329,0.207,2.279,9.583,-6.165,0.488
0.336,0.162,2.238,15.564,16.052,-2.380
0.318,0.108,2.154,23.865,39.368,-4.456
0.296,0.067,2.024,31.860,62.012,-4.089
0.286,0.045,1.909,38.696,83.984,-2.380
0.293,0.058,1.797,43.091,99.609,-0.061
0.292,0.049,1.655,46.448,113.281,1.709
0.294,0.056,1.520,46.753,128.174,3.479
0.300,0.082,1.380,44.617,137.756,5.920
0.312,0.085,1.266,39.368,146.667,7.263
0.323,0.081,1.193,34.241,150.269,7.996
0.346,0.125,1.164,28.442,149.231,9.399
0.391,0.149,1.181,21.179,148.315,9.460
0.420,0.172,1.185,18.005,151.794,8.057
0.436,0.166,1.177,16.724,157.593,6.042
0.440,0.160,1.103,18.127,161.499,3.540
0.440,0.151,1.027,20.874,163.879,1.465
0.449,0.108,0.973,23.926,165.283,-0.732
0.458,0.124,0.898,25.696,166.382,-0.488
0.456,0.117,0.807,28.259,170.349,-0.732
0.467,0.124,0.772,29.846,171.082,-1.770
0.492,0.144,0.795,27.954,167.786,-2.258
0.542,0.161,0.835,25.696,167.603,-2.869
0.561,0.140,0.768,24.902,173.523,-4.944
0.543,0.089,0.703,23.804,182.800,-7.507
0.523,0.023,0.656,21.790,188.599,-8.667
0.517,0.032,0.561,17.334,195.374,-7.446
0.544,0.062,0.542,11.841,200.684,-5.798
0.572,0.068,0.536,7.202,207.092,-6.348
0.584,0.077,0.451,4.028,213.440,-6.897
0.575,0.066,0.320,0.916,221.802,-8.606
0.562,0.036,0.172,-0.122,225.159,-10.620
0.558,-0.001,0.057,-3.601,223.022,-11.597
0.573,-0.027,-0.032,-7.935,220.154,-11.353
0.592,-0.018,-0.139,-12.207,214.661,-10.193
0.609,-0.037,-0.230,-15.869,207.947,-9.827
0.618,-0.080,-0.291,-18.555,196.167,-10.254
0.657,-0.042,-0.318,-21.423,187.134,-8.728
0.719,0.018,-0.302,-24.170,172.729,-7.629
